https://heasarc.gsfc.nasa.gov/W3Browse/planck/planckgcc.html
Results from heasarc_planckgcc: Planck Catalog of Galactic Cold Clumps (PGCC)
Coordinate system: Equatorial
|name              |ra         |dec        |temperature|temperature_error|mass        |mass_error  |size      |size_error|
|PGCC G303.35-17.63|13 01 01.36|-80 29 43.2|  12.553000|         2.301000|8.963970e-01|5.600290e-01|  0.352096|  0.032474|
|PGCC G290.59+5.98 |11 24 51.03|-54 48 14.5|           |                 |            |            |          |          |
|PGCC G302.75-17.62|12 47 18.43|-80 29 40.3|  12.972000|         2.557000|2.929500e+00|1.889790e+00|  0.406041|  0.037908|
|PGCC G311.57-21.75|16 41 23.25|-80 28 40.8|  12.707000|         0.860000|            |            |          |          |
|PGCC G301.61-17.66|12 21 01.58|-80 27 29.4|  13.471000|         1.956000|1.430830e+00|7.107080e-01|  0.371990|  0.034221|
|PGCC G309.80-19.95|15 42 18.72|-80 27 25.4|  15.003000|         2.914000|            |            |          |          |
|PGCC G309.48-19.67|15 32 22.53|-80 25 22.3|           |                 |            |            |          |          |
|PGCC G301.51-17.64|12 18 43.78|-80 25 21.9|           |                 |            |            |          |          |
|PGCC G302.96-17.53|12 52 10.31|-80 24 19.8|  12.042000|         2.154000|1.813660e+00|1.149870e+00|  0.321023|  0.029803|
|PGCC G312.50-22.74|17 12 28.95|-80 16 53.8|  11.968000|         0.932000|            |            |          |          |
|PGCC G295.56-20.10|09 49 45.46|-80 15 28.8|  15.543000|         1.484000|            |            |          |          |
|PGCC G313.87-28.20|19 26 41.78|-80 15 15.3|  15.010000|         2.153000|            |            |          |          |
|PGCC G302.53-17.38|12 42 20.42|-80 14 22.6|           |                 |1.416140e+00|1.138710e+00|  0.317584|  0.029426|
|PGCC G296.32-18.07|10 30 09.44|-79 04 57.3|           |                 |            |            |          |          |
|PGCC G303.15-17.33|12 56 22.40|-80 11 42.9|  13.012000|         2.246000|2.655040e+00|1.529250e+00|  0.416887|  0.037400|
|PGCC G309.62-19.46|15 31 48.50|-80 10 58.6|  16.072001|         3.092000|            |            |          |          |
|PGCC G301.89-17.34|12 28 09.19|-80 09 54.4|  11.313000|         1.900000|3.851340e+00|2.379700e+00|  0.379524|  0.034995|
|PGCC G310.54-20.00|15 55 22.87|-80 02 03.7|  17.813000|         3.184000|            |            |          |          |
|PGCC G302.58-17.13|12 43 44.14|-79 59 50.7|  13.124000|         1.865000|1.588930e+00|8.173460e-01|  0.352969|  0.032433|
|PGCC G303.00-17.10|12 52 53.31|-79 58 22.3|  13.501000|         3.027000|2.061940e+00|1.430300e+00|  0.392534|  0.035971|
|PGCC G312.74-22.50|17 10 01.53|-79 58 20.8|  13.998000|         2.411000|            |            |          |          |
|PGCC G314.03-29.72|20 01 19.82|-79 54 13.7|           |                 |            |            |          |          |
|PGCC G292.21-31.04|05 10 35.48|-79 51 21.6|           |                 |            |            |          |          |
|PGCC G314.13-29.64|19 59 07.37|-79 50 10.8|  15.346000|         2.404000|            |            |          |          |
|PGCC G313.02-22.61|17 15 12.68|-79 47 43.5|  13.638000|         1.495000|            |            |          |          |
|PGCC G315.04-29.68|19 56 37.49|-79 03 04.2|           |                 |            |            |          |          |
|PGCC G270.73-8.65 |08 32 06.56|-54 23 44.0|           |                 |            |            |          |          |
|PGCC G303.01-16.85|12 53 02.89|-79 43 07.4|  12.066000|         0.854000|6.240520e+00|1.978790e+00|  0.348169|  0.031333|
|PGCC G302.80-16.78|12 48 31.08|-79 39 21.2|  11.660000|         3.170000|1.843220e+00|1.578700e+00|  0.330037|  0.029680|
|PGCC G291.87-30.88|05 16 05.22|-79 37 53.8|  15.440000|         1.233000|            |            |          |          |
|PGCC G291.90-24.18|07 47 38.08|-79 37 53.6|           |                 |            |            |          |          |
|PGCC G313.12-22.36|17 11 11.10|-79 35 53.5|  13.383000|         1.589000|            |            |          |          |
|PGCC G300.28-17.02|11 54 40.67|-79 35 39.8|           |                 |            |            |          |          |
|PGCC G314.43-29.66|19 58 22.92|-79 34 50.0|           |                 |            |            |          |          |
